,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
103,9,7,2756.64625,551329.25,29.492713657143476,30079.249999999884
104,9,8,2756.64625,551329.25,29.492713657143476,30079.249999999884
105,9,9,2756.64625,551329.25,29.492713657143476,30079.249999999884
106,9,10,2756.64625,551329.25,29.492713657143476,30079.249999999884
107,9,11,2756.64625,551329.25,29.492713657143476,30079.249999999884
108,9,12,2756.64625,551329.25,29.492713657143476,30079.249999999884
109,9,13,2756.64625,551329.25,29.492713657143476,30079.249999999884
110,9,14,2756.64625,551329.25,29.492713657143476,30079.249999999884
111,9,15,2756.64625,551329.25,29.492713657143476,30079.249999999884
112,9,16,2756.64625,551329.25,29.492713657143476,30079.249999999884
113,9,17,2756.64625,551329.25,29.492713657143476,30079.249999999884
114,9,18,2756.64625,551329.25,29.492713657143476,30079.249999999884
115,9,19,2756.64625,551329.25,29.492713657143476,30079.249999999884
116,9,20,2756.64625,551329.25,29.492713657143476,30079.249999999884
117,9,21,2756.64625,551329.25,29.492713657143476,30079.249999999884
118,9,22,2756.64625,551329.25,29.492713657143476,30079.249999999884
119,9,23,2756.64625,551329.25,29.492713657143476,30079.249999999884
120,9,24,2756.64625,551329.25,29.492713657143476,30079.249999999884
121,9,25,2756.64625,551329.25,29.492713657143476,30079.249999999884
122,9,26,2756.64625,551329.25,29.492713657143476,30079.249999999884
123,9,27,2756.64625,551329.25,29.492713657143476,30079.249999999884
124,9,28,2756.02125,551204.25,29.528905032457576,30079.250000000015
125,9,29,2752.77125,550554.25,29.820482149017284,16640.499999999993
126,9,30,2750.14625,550029.25,30.103704507731432,16640.499999999985
127,9,31,2748.2712500000002,549654.25,30.309322477676222,16640.49999999995
128,9,32,2746.14625,549229.25,30.545778283595432,16640.499999999978
129,9,33,2746.14625,549229.25,30.545778283595432,16640.499999999978
130,9,34,2750.89625,550179.25,30.0168208199361,16640.50000000006
131,9,35,2750.89625,550179.25,30.0168208199361,16640.50000000006
132,9,36,2750.89625,550179.25,30.0168208199361,16640.50000000006
133,9,37,2750.89625,550179.25,30.0168208199361,16640.50000000006
134,9,38,2750.89625,550179.25,29.526731045314524,30079.249999999956
135,9,39,2755.4537499999997,551090.75,29.2620345306453,30079.25
136,10,6,2763.26375,552652.75,27.771537107725553,26391.49999999997
137,10,7,2763.26375,552652.75,27.771537107725553,26391.49999999997
138,10,8,2763.26375,552652.75,27.771537107725553,26391.49999999997
139,10,9,2763.26375,552652.75,27.771537107725553,26391.49999999997
140,10,10,2763.26375,552652.75,27.771537107725553,26391.49999999997
141,10,11,2763.26375,552652.75,27.771537107725553,26391.49999999997
142,10,12,2763.26375,552652.75,27.771537107725553,26391.49999999997
143,10,13,2763.26375,552652.75,27.771537107725553,26391.49999999997
144,10,14,2763.26375,552652.75,27.771537107725553,26391.49999999997
145,10,15,2763.26375,552652.75,27.771537107725553,26391.49999999997
146,10,16,2763.26375,552652.75,27.771537107725553,26391.49999999997
147,10,17,2763.26375,552652.75,27.771537107725553,26391.49999999997
148,10,18,2763.26375,552652.75,27.771537107725553,26391.49999999997
149,10,19,2763.26375,552652.75,27.771537107725553,26391.49999999997
150,10,20,2763.26375,552652.75,27.771537107725553,26391.49999999997
151,10,21,2763.26375,552652.75,27.771537107725553,26391.49999999997
152,10,22,2763.26375,552652.75,27.771537107725553,26391.49999999997
153,10,23,2763.26375,552652.75,27.771537107725553,26391.49999999997
154,10,24,2763.26375,552652.75,27.771537107725553,26391.49999999997
155,10,25,2763.26375,552652.75,27.771537107725553,26391.49999999997
156,10,26,2763.26375,552652.75,27.771537107725553,26391.49999999997
157,10,27,2763.26375,552652.75,27.771537107725553,26391.49999999997
158,10,28,2763.26375,552652.75,27.771537107725553,26391.49999999997
159,10,29,2763.26375,552652.75,27.771537107725553,26391.49999999997
160,10,30,2763.26375,552652.75,27.771537107725553,26391.49999999997
161,10,31,2761.38875,552277.75,27.881560285561136,26391.50000000006
162,10,32,2759.26375,551852.75,28.00731183822692,26391.49999999994
163,10,33,2759.26375,551852.75,28.00731183822692,26391.49999999994
164,10,34,2764.01375,552802.75,27.724857719893926,26391.499999999796
165,10,35,2764.01375,552802.75,27.724857719893926,26391.499999999796
166,10,36,2764.01375,552802.75,27.724857719893926,26391.499999999796
167,10,37,2764.01375,552802.75,27.724857719893926,26391.499999999796
168,10,38,2764.01375,552802.75,27.43021361402931,26391.5
169,10,39,2764.01375,552802.75,27.43021361402931,26391.5
170,11,6,2721.5975,544319.5,31.828894784182825,27955.000000000036
171,11,7,2721.5975,544319.5,31.828894784182825,27955.000000000036
172,11,8,2721.5975,544319.5,31.828894784182825,27955.000000000036
173,11,9,2721.5975,544319.5,31.828894784182825,27955.000000000036
174,11,10,2721.5975,544319.5,31.828894784182825,27955.000000000036
175,11,11,2721.5975,544319.5,31.828894784182825,27955.000000000036
176,11,12,2721.5975,544319.5,31.828894784182825,27955.000000000036
177,11,13,2721.5975,544319.5,31.828894784182825,27955.000000000036
178,11,14,2721.5975,544319.5,31.828894784182825,27955.000000000036
179,11,15,2721.5975,544319.5,31.828894784182825,27955.000000000036
180,11,16,2721.5975,544319.5,31.828894784182825,27955.000000000036
181,11,17,2721.5975,544319.5,31.828894784182825,27955.000000000036
182,11,18,2721.5975,544319.5,31.828894784182825,27955.000000000036
183,11,19,2721.5975,544319.5,31.828894784182825,27955.000000000036
184,11,20,2721.5975,544319.5,31.828894784182825,27955.000000000036
185,11,21,2721.5975,544319.5,31.828894784182825,27955.000000000036
186,11,22,2721.5975,544319.5,31.828894784182825,27955.000000000036
187,11,23,2721.5975,544319.5,31.828894784182825,27955.000000000036
188,11,24,2721.5975,544319.5,31.828894784182825,27955.000000000036
189,11,25,2721.5975,544319.5,31.828894784182825,27955.000000000036
190,11,26,2721.5975,544319.5,31.828894784182825,27955.000000000036
