,period_sma5,period_sma25,period_fast,period_slow,period_aosma9,period_aosma12,return,pnl,drawdown (%),drawdown (abs)
124,6,8,15,20,12,9,187.22125,37444.25,54.281700035124715,23181.000000000007
125,6,8,15,20,12,12,238.33624999999995,47667.25,48.26334095520272,14986.24999999999
126,6,8,18,20,6,6,160.40124999999998,32080.25,77.30989718317488,24982.50000000001
127,6,8,18,20,6,9,145.99249999999995,29198.5,74.62620742137166,21574.249999999985
128,6,8,18,20,6,12,209.21874999999991,41843.75,80.30503006305906,23272.999999999978
129,6,8,18,20,9,6,221.80249999999998,44360.5,41.94892136663264,16338.999999999982
130,6,8,18,20,9,9,194.39374999999995,38878.75,50.53690101434067,14448.499999999975
131,6,8,18,20,9,12,267.8637499999999,53572.75,54.5698442399542,15967.000000000002
132,6,8,18,20,12,6,184.92750000000004,36985.5,44.04450593629805,15200.75000000003
133,6,8,18,20,12,9,157.51875,31503.75,49.75535615592184,15304.24999999999
134,6,8,18,20,12,12,231.11374999999995,46222.75,62.89544736708049,18519.25
135,6,11,6,8,6,6,236.31625000000008,47263.25,71.6947610546553,20883.249999999978
136,6,11,6,8,6,9,207.21625000000014,41443.25,71.34052927839201,20373.249999999956
137,6,11,6,8,6,12,262.0875000000001,52417.5,65.51944287485962,22320.999999999964
138,6,11,6,8,9,6,309.8275000000001,61965.5,53.73704108456151,18193.750000000015
139,6,11,6,8,9,9,280.72750000000013,56145.5,52.129800625635916,17289.499999999964
140,6,11,6,8,9,12,338.09875000000017,67619.75,48.63318667670802,18404.49999999999
141,6,11,6,8,12,6,279.0237500000001,55804.75,65.59229958588746,22095.74999999998
142,6,11,6,8,12,9,255.04875000000013,51009.75,58.08553202732797,19235.750000000004
143,6,11,6,8,12,12,314.5450000000001,62909.0,53.284294918438235,20137.999999999927
144,6,11,6,11,6,6,282.71500000000003,56543.0,60.9061223064296,17439.249999999964
145,6,11,6,11,6,9,264.31625,52863.25,46.13073406608885,19652.499999999996
146,6,11,6,11,6,12,242.65750000000003,48531.5,65.17866499004508,20215.000000000015
147,6,11,6,11,9,6,261.98875,52397.75,86.67547380722523,21323.24999999997
148,6,11,6,11,9,9,240.71000000000004,48142.0,68.37167194765648,20768.749999999985
149,6,11,6,11,9,12,228.51500000000001,45703.0,84.13001912045887,22109.999999999985
150,6,11,6,11,12,6,270.3300000000001,54066.0,76.7481731523884,25180.499999999993
151,6,11,6,11,12,9,286.93125000000003,57386.25,56.98309543401773,21986.499999999967
152,6,11,6,11,12,12,289.48625000000004,57897.25,64.55075930557062,22262.750000000033
153,6,11,6,14,6,6,293.1112500000001,58622.25,64.35237299829335,22152.500000000007
154,6,11,6,14,6,9,268.38125,53676.25,69.5668552533363,24930.49999999999
155,6,11,6,14,6,12,228.1175,45623.5,87.58242470391909,27029.249999999956
156,6,11,6,14,9,6,343.30750000000006,68661.5,51.19024564644194,17181.75
157,6,11,6,14,9,9,310.2025,62040.5,55.00056921675771,24156.250000000015
158,6,11,6,14,9,12,269.43874999999997,53887.75,68.18661360118767,26983.999999999985
159,6,11,6,14,12,6,330.21,66042.0,57.085983188692445,16740.74999999999
160,6,11,6,14,12,9,304.8550000000001,60971.0,54.743169933043355,22402.000000000025
161,6,11,6,14,12,12,260.795,52159.0,74.97864021927097,27423.999999999927
162,6,11,6,17,6,6,199.41625000000013,39883.25,87.0536172960913,29655.249999999985
163,6,11,6,17,6,9,239.29250000000008,47858.5,74.98651099597605,28837.749999999956
164,6,11,6,17,6,12,199.99125000000004,39998.25,87.28700514729711,28955.499999999953
165,6,11,6,17,9,6,271.38375,54276.75,68.2422840317577,22713.249999999967
166,6,11,6,17,9,9,308.38499999999993,61677.0,62.841613577725916,25696.250000000015
167,6,11,6,17,9,12,270.70875000000007,54141.75,72.02078281953585,25990.500000000022
168,6,11,6,17,12,6,292.0512500000002,58410.25,65.49919273082263,21805.499999999978
169,6,11,6,17,12,9,323.7325000000001,64746.5,54.21874585356793,20431.250000000007
170,6,11,6,17,12,12,271.99000000000007,54398.0,65.36377552260082,20176.0
171,6,11,6,20,6,6,301.46625,60293.25,72.33260858645659,25200.500000000022
172,6,11,6,20,6,9,305.81249999999994,61162.5,75.99064499475934,24287.74999999999
173,6,11,6,20,6,12,260.4925,52098.5,75.77533752088566,21201.750000000004
174,6,11,6,20,9,6,346.78875000000005,69357.75,49.34366856320563,20402.250000000036
175,6,11,6,20,9,9,315.3825,63076.5,66.48259161917139,28141.249999999927
176,6,11,6,20,9,12,302.83624999999995,60567.25,63.215447306441376,25364.24999999999
177,6,11,6,20,12,6,320.01875,64003.75,50.06506725764066,19428.25
178,6,11,6,20,12,9,288.8625,57772.5,62.69333636488742,26194.999999999993
179,6,11,6,20,12,12,274.06625,54813.25,59.33489580034209,23418.00000000006
180,6,11,9,11,6,6,200.43125000000006,40086.25,76.23671459831195,29265.750000000007
181,6,11,9,11,6,9,235.97000000000006,47194.0,72.17235188509873,29044.500000000004
182,6,11,9,11,6,12,211.8312500000001,42366.25,82.04903099751809,31075.24999999996
183,6,11,9,11,9,6,216.715,43343.0,65.70996978851962,27187.500000000007
184,6,11,9,11,9,9,259.25375,51850.75,63.005304447031996,26784.500000000004
185,6,11,9,11,9,12,242.24,48448.0,71.62226820523335,28815.24999999997
186,6,11,9,11,12,6,215.06750000000002,43013.5,65.58575687158184,27941.500000000015
187,6,11,9,11,12,9,260.98124999999993,52196.25,63.412025758043676,27720.249999999964
188,6,11,9,11,12,12,229.71749999999992,45943.5,75.46475822892785,31185.999999999953
189,6,11,9,14,6,6,227.87999999999994,45576.0,63.883776896942244,22563.750000000007
190,6,11,9,14,6,9,216.78999999999996,43358.0,69.32194175799835,25822.250000000015
191,6,11,9,14,6,12,193.89499999999992,38779.0,66.66265664160403,24936.00000000004
192,6,11,9,14,9,6,199.99624999999992,39999.25,63.828665862700426,17863.249999999964
