,period_high,period_low,period_rsi,return,pnl,drawdown (%),drawdown (abs)
670,14,20,26,191.13999999999993,38228.0,88.3823055663881,39095.25000000002
671,14,20,28,182.7762499999999,36555.25,92.16387753833293,40768.00000000003
672,14,22,6,253.74374999999984,50748.75,32.96247417043051,15672.750000000025
673,14,22,8,166.45749999999987,33291.5,62.15398140471729,27926.25000000001
674,14,22,10,151.05374999999987,30210.75,69.56605381042688,31641.25000000005
675,14,22,12,176.16874999999985,35233.75,57.833911370269284,24721.249999999975
676,14,22,14,206.75124999999986,41350.25,50.88540217088791,21939.749999999956
677,14,22,16,188.40124999999986,37680.25,60.92393587853674,21387.50000000002
678,14,22,18,184.39999999999992,36880.0,59.88631749898499,21387.50000000002
679,14,22,20,163.48124999999987,32696.25,66.7067614909261,22183.000000000007
680,14,22,22,163.10624999999987,32621.25,66.78193928641242,22208.0
681,14,22,24,165.2312499999999,33046.25,66.34647817096607,22620.499999999993
682,14,22,26,169.98124999999993,33996.25,66.34647817096607,22620.499999999993
683,14,22,28,161.6174999999999,32323.5,71.25269471615664,24293.249999999996
684,14,24,6,217.4949999999998,43499.0,30.92451434536959,14737.000000000022
685,14,24,8,172.08624999999986,34417.25,54.00833363011508,26538.750000000004
686,14,24,10,223.98999999999987,44798.0,52.64405717915028,30253.74999999996
687,14,24,12,253.31249999999977,50662.5,42.446670595167916,22509.999999999938
688,14,24,14,240.32374999999976,48064.75,49.72927562412286,25601.749999999985
689,14,24,16,214.85499999999985,42971.0,59.30570681157313,26411.500000000036
690,14,24,18,214.09749999999988,42819.5,58.854809298668954,26950.499999999985
691,14,24,20,200.03499999999988,40007.0,62.19465758956907,26950.5000000001
692,14,24,22,199.65999999999985,39932.0,62.25235100675016,26975.5000000001
693,14,24,24,201.78499999999983,40357.0,62.002377044541326,27387.999999999978
694,14,24,26,206.53499999999985,41307.0,62.002377044541326,27387.999999999978
695,14,24,28,198.17124999999982,39634.25,65.78923538400595,29060.749999999993
696,14,26,6,246.91249999999988,49382.5,34.789665760335794,16825.49999999998
697,14,26,8,176.68499999999986,35337.0,50.02929470472963,24763.000000000044
698,14,26,10,212.84249999999986,42568.5,57.38658250759986,30912.000000000022
699,14,26,12,239.7212499999998,47944.25,47.67105107484019,23168.25000000002
700,14,26,14,211.87499999999977,42375.0,47.94291659222989,22811.00000000001
701,14,26,16,169.3724999999998,33874.5,58.631812982740286,22811.000000000047
702,14,26,18,169.0862499999999,33817.25,61.38404582635023,24539.499999999978
703,14,26,20,153.94249999999988,30788.5,67.31232231129783,26280.75000000003
704,14,26,22,139.58749999999986,27917.5,67.6797108160956,26305.750000000087
705,14,26,24,140.96249999999986,28192.5,67.54196369887262,26718.24999999998
706,14,26,26,145.71249999999984,29142.5,67.54196369887262,26718.24999999998
707,14,26,28,137.34874999999982,27469.75,71.77056474038133,28390.999999999993
708,14,28,6,299.0474999999999,59809.5,36.167731603639275,16825.500000000007
709,14,28,8,244.98749999999987,48997.5,48.92141204414688,23891.749999999993
710,14,28,10,278.5599999999999,55712.0,44.740267036197814,23891.74999999997
711,14,28,12,300.2599999999998,60052.0,32.82279683377313,19437.249999999964
712,14,28,14,289.04624999999976,57809.25,43.533814971969484,20442.50000000001
713,14,28,16,240.09874999999985,48019.75,50.825240210765564,19677.499999999956
714,14,28,18,246.68749999999991,49337.5,49.226978210291946,19677.499999999967
715,14,28,20,211.4112499999999,42282.25,50.404723481646585,19677.500000000004
716,14,28,22,184.3612499999999,36872.25,51.05866784296431,19677.499999999993
717,14,28,24,185.73624999999984,37147.25,50.16059547783529,19677.500000000007
718,14,28,26,190.48624999999987,38097.25,50.16059547783529,19677.500000000007
719,14,28,28,182.1224999999998,36424.5,51.01819953764568,22510.250000000022
720,16,6,6,-80.29625000000001,-16059.25,90.17959540784358,19068.250000000004
721,16,6,8,-71.97625000000002,-14395.25,92.77125000000001,18554.250000000004
722,16,6,10,275.3549999999999,55071.0,73.18100465338263,15333.249999999995
723,16,6,12,334.7287499999998,66945.75,83.0282782484191,17396.50000000001
724,16,6,14,273.4649999999999,54693.0,64.68861272903057,13716.249999999995
725,16,6,16,262.22374999999994,52444.75,89.17432287316552,18684.250000000007
726,16,6,18,292.81999999999994,58564.0,88.00501133516293,18439.25000000001
727,16,6,20,287.70624999999995,57541.25,95.43968500178981,19997.00000000001
728,16,6,22,301.36499999999995,60273.0,92.45987397455715,19442.000000000004
729,16,6,24,292.60624999999993,58521.25,99.2093686838664,20861.250000000007
730,16,6,26,297.35624999999993,59471.25,99.72356193389015,21193.750000000007
731,16,6,28,-65.23125000000003,-13046.25,96.99239727641424,19551.00000000001
732,16,8,6,-75.56000000000007,-15112.0,90.92615692425504,18405.50000000002
733,16,8,8,-86.20250000000007,-17240.5,99.12500000000009,19825.00000000002
734,16,8,10,232.83874999999986,46567.75,82.19305572127442,17221.500000000022
735,16,8,12,229.3937499999999,45878.75,77.33402549460702,16759.25000000001
736,16,8,14,204.64874999999992,40929.75,68.49166522466405,14842.999999999996
737,16,8,16,194.47374999999994,38894.75,69.72402992865845,25044.0
738,16,8,18,231.66999999999996,46334.0,64.36598451505127,25044.000000000015
739,16,8,20,219.43874999999994,43887.75,69.98444069255473,26425.249999999985
740,16,8,22,231.93875,46387.75,68.27207484007073,14887.75000000001
741,16,8,24,225.59375,45118.75,73.56378311984568,15721.500000000015
742,16,8,26,226.71875,45343.75,72.79736065289121,15721.500000000016
743,16,8,28,221.2425,44248.5,76.68650309741004,15721.500000000031
744,16,10,6,87.59874999999978,17519.75,94.68403396899282,31330.00000000006
745,16,10,8,96.02374999999974,19204.75,79.97501710138903,20167.499999999996
746,16,10,10,-88.95625000000011,-17791.25,94.5161670645799,32066.499999999953
747,16,10,12,-84.92375000000011,-16984.75,90.16688458672523,32066.49999999997
748,16,10,14,-86.0637500000001,-17212.75,85.91928128669353,31464.499999999978
749,16,10,16,-81.81250000000009,-16362.5,99.58824118255541,37306.99999999998
750,16,10,18,-72.42375000000007,-14484.75,98.76891646935877,41819.499999999985
751,16,10,20,-82.40875000000011,-16481.75,96.73295822853743,37307.00000000007
752,16,10,22,-82.03375000000011,-16406.75,96.54520987526534,37307.000000000044
753,16,10,24,-82.03375000000011,-16406.75,96.54520987526534,37307.000000000044
754,16,10,26,-87.32250000000009,-17464.5,94.79789349307896,37307.0
755,16,10,28,-83.79875000000008,-16759.75,97.51169659426547,37307.00000000003
756,16,12,6,-86.76625000000017,-17353.25,84.42133721534793,20297.000000000015
757,16,12,8,-81.16625000000016,-16233.25,92.21959624774867,22144.00000000006
758,16,12,10,-75.50000000000013,-15100.0,75.47474107151197,20240.25000000006
759,16,12,12,-73.54750000000013,-14709.5,99.07228138109078,30702.50000000001
760,16,12,14,-78.70750000000014,-15741.5,80.10005377483023,24577.50000000003
761,16,12,16,-72.58125000000014,-14516.25,97.79255800187457,29737.249999999996
762,16,12,18,-81.15125000000008,-16230.25,87.28305356430897,26817.5
763,16,12,20,-75.90125000000008,-15180.25,90.97293271237638,27787.0
764,16,12,22,-75.52625000000008,-15105.25,90.75010001877911,27787.000000000015
765,16,12,24,-75.52625000000008,-15105.25,90.75010001877911,27787.000000000015
766,16,12,26,-80.84375000000007,-16168.75,87.16535496891647,26885.50000000002
767,16,12,28,-75.32000000000008,-15064.0,90.37446636861752,26885.500000000015
768,16,14,6,-85.08375000000011,-17016.75,95.86216980212505,19669.000000000015
769,16,14,8,-84.74625000000012,-16949.25,96.38916980785147,20968.500000000007
770,16,14,10,-80.57750000000013,-16115.5,93.13831001532802,21419.250000000022
771,16,14,12,-74.1212500000001,-14824.25,94.2314124382711,23947.500000000004
772,16,14,14,-74.9075000000001,-14981.5,94.98565244881092,24412.50000000002
773,16,14,16,-80.78500000000014,-16157.0,94.38550970510462,23644.749999999985
774,16,14,18,-73.7075000000001,-14741.5,94.51899789573991,23806.5
775,16,14,20,-73.2075000000001,-14641.5,95.11454321673884,23956.5
776,16,14,22,-72.8325000000001,-14566.5,94.83215897395303,23956.500000000025
777,16,14,24,-72.8325000000001,-14566.5,94.83215897395303,23956.500000000025
