,period_sma5,period_sma25,period_he,period_direc,return,pnl,drawdown (%),drawdown (abs)
1389,11,20,16,16,2292.1675000000005,458433.5,50.27854629574334,56835.99999999988
1390,11,20,16,18,2301.2162500000004,460243.25,49.268911114241426,56836.00000000008
1391,11,20,16,20,2250.89875,450179.75,50.37279287782804,56836.00000000004
1392,11,20,18,6,2290.925,458185.0,40.87074426214643,49585.00000000013
1393,11,20,18,8,2331.90125,466380.25,40.63161948777198,49584.99999999997
1394,11,20,18,10,2323.07625,464615.25,41.342193466624394,49585.00000000025
1395,11,20,18,12,2374.13125,474826.25,42.844216990788134,52323.50000000007
1396,11,20,18,14,2307.39,461478.0,47.250620914693044,56836.00000000001
1397,11,20,18,16,2292.1675000000005,458433.5,50.27854629574334,56835.99999999988
1398,11,20,18,18,2301.2162500000004,460243.25,49.268911114241426,56836.00000000008
1399,11,20,18,20,2250.89875,450179.75,50.37279287782804,56836.00000000004
1400,11,20,20,6,2290.925,458185.0,40.87074426214643,49585.00000000013
1401,11,20,20,8,2331.90125,466380.25,40.63161948777198,49584.99999999997
1402,11,20,20,10,2323.07625,464615.25,41.342193466624394,49585.00000000025
1403,11,20,20,12,2374.13125,474826.25,42.844216990788134,52323.50000000007
1404,11,20,20,14,2307.39,461478.0,47.250620914693044,56836.00000000001
1405,11,20,20,16,2292.1675000000005,458433.5,50.27854629574334,56835.99999999988
1406,11,20,20,18,2301.2162500000004,460243.25,49.268911114241426,56836.00000000008
1407,11,20,20,20,2250.89875,450179.75,50.37279287782804,56836.00000000004
1408,13,16,6,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1409,13,16,6,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1410,13,16,6,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1411,13,16,6,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1412,13,16,6,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1413,13,16,6,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1414,13,16,6,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1415,13,16,6,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1416,13,16,8,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1417,13,16,8,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1418,13,16,8,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1419,13,16,8,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1420,13,16,8,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1421,13,16,8,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1422,13,16,8,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1423,13,16,8,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1424,13,16,10,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1425,13,16,10,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1426,13,16,10,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1427,13,16,10,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1428,13,16,10,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1429,13,16,10,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1430,13,16,10,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1431,13,16,10,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1432,13,16,12,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1433,13,16,12,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1434,13,16,12,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1435,13,16,12,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1436,13,16,12,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1437,13,16,12,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1438,13,16,12,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1439,13,16,12,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1440,13,16,14,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1441,13,16,14,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1442,13,16,14,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1443,13,16,14,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1444,13,16,14,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1445,13,16,14,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1446,13,16,14,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1447,13,16,14,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1448,13,16,16,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1449,13,16,16,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1450,13,16,16,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1451,13,16,16,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1452,13,16,16,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1453,13,16,16,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1454,13,16,16,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1455,13,16,16,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1456,13,16,18,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1457,13,16,18,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1458,13,16,18,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1459,13,16,18,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1460,13,16,18,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1461,13,16,18,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1462,13,16,18,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1463,13,16,18,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1464,13,16,20,6,2221.0975000000003,444219.5,41.08876739912697,49584.999999999956
1465,13,16,20,8,2259.42625,451885.25,41.32109159015575,49584.99999999991
1466,13,16,20,10,2237.015,447403.0,41.232612722362745,49585.0000000001
1467,13,16,20,12,2288.05875,457611.75,42.27811433800431,52323.500000000146
1468,13,16,20,14,2282.2775,456455.5,45.53838264868718,56835.99999999994
1469,13,16,20,16,2266.59125,453318.25,48.166101694915234,56835.99999999996
1470,13,16,20,18,2281.46125,456292.25,47.57046305789793,56835.99999999998
1471,13,16,20,20,2222.83125,444566.25,48.93980686187133,56835.99999999981
1472,13,18,6,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1473,13,18,6,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
