,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
177,6,20,15,634.7225000000002,126944.5,24.64030984494113,9033.999999999993
178,6,20,17,702.37875,140475.75,21.375851744150278,8674.00000000003
179,6,20,19,692.065,138413.0,20.908078302984062,8493.750000000007
180,6,22,3,355.2662500000002,71053.25,44.056069096540355,34494.24999999998
181,6,22,5,417.69125,83538.25,43.04532491960439,35471.500000000095
182,6,22,7,480.0725000000001,96014.5,32.73073346761147,28072.25000000003
183,6,22,9,521.3950000000001,104279.0,31.530813780193217,28297.249999999978
184,6,22,11,592.4662500000001,118493.25,28.517137645213918,26732.24999999997
185,6,22,13,650.8475,130169.5,24.64030984494113,9033.999999999993
186,6,22,15,696.12875,139225.75,21.375851744150278,8674.00000000003
187,6,22,17,691.8149999999999,138363.0,20.908078302984062,8493.750000000007
188,6,22,19,669.745,133949.0,20.908078302984062,8493.750000000007
189,6,24,3,333.77625000000006,66755.25,44.80004387195844,34719.25000000003
190,6,24,5,441.06624999999997,88213.25,43.183210232390536,35956.499999999985
191,6,24,7,489.6275000000001,97925.5,33.089522874040085,28297.25000000008
192,6,24,9,566.3612500000002,113272.25,30.109943897488524,28297.249999999985
193,6,24,11,642.2250000000001,128445.0,25.059639389736482,9034.000000000015
194,6,24,13,646.3900000000001,129278.0,23.46639252235313,8673.999999999996
195,6,24,15,682.37875,136475.75,21.151577244000038,21109.750000000116
196,6,24,17,655.3,131060.0,20.908078302984062,8493.750000000007
197,6,24,19,668.375,133675.0,21.040148132551373,8493.749999999993
198,6,26,3,341.8825000000001,68376.5,43.79140612928962,34719.25000000004
199,6,26,5,467.82000000000005,93564.0,40.360088747085044,35609.0000000001
200,6,26,7,513.8950000000001,102779.0,31.56656850260746,27949.749999999964
201,6,26,9,572.3475000000002,114469.5,28.582642176153904,26854.74999999994
202,6,26,11,654.7412500000002,130948.25,23.73692967386749,8774.000000000007
203,6,26,13,691.5675,138313.5,21.29907092794364,8493.750000000004
204,6,26,15,692.065,138413.0,20.908078302984062,8493.750000000007
205,6,26,17,667.93875,133587.75,21.040148132551373,8493.749999999993
206,6,26,19,654.50125,130900.25,22.402936063357117,5798.999999999989
207,6,28,3,342.95625000000007,68591.25,44.04026117758233,34719.25000000003
208,6,28,5,472.70124999999996,94540.25,39.82432003386599,34807.75000000003
209,6,28,7,520.6450000000001,104129.0,30.813137869354453,27949.750000000073
210,6,28,9,616.4725000000002,123294.5,27.19542488653094,25809.74999999997
211,6,28,11,645.2812500000001,129056.25,23.46639252235313,8673.999999999996
212,6,28,13,668.5225,133704.5,21.361603302941624,21109.74999999994
213,6,28,15,675.6875,135137.5,20.711790632601186,8493.75
214,6,28,17,656.00125,131200.25,22.402936063357117,5798.999999999989
215,6,28,19,638.3625000000001,127672.5,22.402936063357117,5798.999999999989
216,9,6,3,208.2387499999999,41647.75,77.95294932058997,17454.249999999993
217,9,6,5,-71.38875000000003,-14277.75,94.76373664573245,20445.75
218,9,6,7,-72.15250000000003,-14430.5,95.48396407597777,21502.750000000015
219,9,6,9,-76.15250000000002,-15230.5,96.61801018972905,23183.250000000022
220,9,6,11,-75.32000000000002,-15064.0,95.81129177078941,22141.75000000001
221,9,6,13,-75.19500000000002,-15039.0,95.7062896649151,22356.750000000004
222,9,6,15,-75.38375000000002,-15076.75,98.50647760780933,23134.000000000022
223,9,6,17,-72.75875000000002,-14551.75,96.2521239407353,22234.00000000002
224,9,6,19,-77.99625000000002,-15599.25,97.63704676112444,21569.00000000001
225,9,8,3,203.67124999999993,40734.25,92.79682998708597,21018.249999999996
226,9,8,5,-75.52750000000003,-15105.5,95.78810987737107,21070.750000000015
227,9,8,7,-70.77750000000003,-14155.5,94.57381302159851,22692.75000000002
228,9,8,9,-74.65250000000003,-14930.5,99.33925602770042,23453.750000000015
229,9,8,11,-70.48249999999999,-14096.5,94.2170620040578,22173.74999999999
230,9,8,13,-74.065,-14813.0,97.34554368837674,22535.249999999993
231,9,8,15,-78.05249999999998,-15610.5,97.7022525205727,22142.74999999999
232,9,8,17,-76.38749999999999,-15277.5,95.6823781711991,20969.749999999975
233,9,8,19,-77.89749999999998,-15579.5,99.14364139558093,21852.249999999996
234,9,10,3,288.1737500000001,57634.75,40.509067112129046,29402.999999999964
235,9,10,5,373.30125,74660.25,41.76211758128901,33242.75000000004
236,9,10,7,437.21750000000003,87443.5,43.89797245121893,35956.500000000146
237,9,10,9,441.7675,88353.5,43.32917593044488,35956.50000000013
238,9,10,11,485.83750000000015,97167.5,33.71232136423682,28072.250000000007
239,9,10,13,497.84875000000017,99569.75,32.282294308725895,27205.49999999994
240,9,10,15,511.0987500000001,102219.75,31.00586365241964,27430.499999999935
241,9,10,17,633.1300000000001,126626.0,26.011428571428606,9388.500000000022
242,9,10,19,632.3462499999999,126469.25,25.380537027535528,9275.000000000015
243,9,12,3,294.09000000000015,58818.0,43.661096281127726,32835.00000000009
244,9,12,5,424.82625,84965.25,45.136467627186164,35956.50000000001
245,9,12,7,432.83,86566.0,44.58366139901675,35956.499999999956
246,9,12,9,487.16750000000013,97433.5,33.665423452378214,28072.25000000011
247,9,12,11,488.3487500000001,97669.75,32.234482145766414,27205.500000000102
248,9,12,13,543.4912500000002,108698.25,26.011428571428606,9388.500000000022
249,9,12,15,635.3237500000001,127064.75,25.380537027535528,9275.000000000015
250,9,12,17,633.40875,126681.75,24.90350729988257,9275.000000000015
251,9,12,19,647.8575000000001,129571.5,23.309187313341376,9034.000000000007
252,9,14,3,339.61375000000015,67922.75,45.400356660788056,34560.00000000009
253,9,14,5,439.45625,87891.25,44.189297554051485,35956.50000000001
254,9,14,7,454.885,90977.0,35.42721827213405,29098.50000000003
255,9,14,9,496.41125000000017,99282.25,32.23925698795719,27205.50000000005
256,9,14,11,519.9912500000002,103998.25,31.00586365241964,27430.499999999935
257,9,14,13,663.0987500000001,132619.75,25.380537027535528,9275.000000000015
258,9,14,15,640.595,128119.0,24.90350729988257,9275.000000000015
259,9,14,17,656.105,131221.0,22.754186584329982,9175.000000000011
260,9,14,19,686.8887500000002,137377.75,22.156501683313767,8934.0
261,9,16,3,371.4437500000001,74288.75,44.85669907600045,35305.249999999905
262,9,16,5,442.58875,88517.75,43.4601043095686,35956.500000000095
263,9,16,7,482.1675000000002,96433.5,33.65936859270271,28072.24999999994
264,9,16,9,503.34875000000017,100669.75,31.555152926966016,27430.500000000015
265,9,16,11,621.4825000000001,124296.5,26.011428571428606,9388.500000000022
266,9,16,13,629.15875,125831.75,24.90350729988257,9275.000000000015
267,9,16,15,679.9537499999999,135990.75,22.754186584329982,9175.000000000011
268,9,16,17,689.3487500000002,137869.75,22.156501683313767,8934.0
269,9,16,19,671.25625,134251.25,21.77205627006707,8933.999999999989
270,9,18,3,375.3575000000001,75071.5,43.373368752808524,35471.50000000003
271,9,18,5,442.65125,88530.25,41.27261979235426,35956.5000000001
272,9,18,7,507.80125000000015,101560.25,32.078538697992194,28072.250000000007
273,9,18,9,565.73125,113146.25,26.047326664367116,23597.25000000006
274,9,18,11,628.1575000000001,125631.5,24.90350729988257,9275.000000000015
275,9,18,13,659.4325,131886.5,22.156501683313767,8934.0
276,9,18,15,686.8887500000002,137377.75,22.156501683313767,8934.0
277,9,18,17,670.25625,134051.25,21.878692519147503,8933.999999999989
278,9,18,19,658.54875,131709.75,20.699172033118664,8493.749999999993
