,period_high,period_low,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
10060,17,14,3,18,7,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10061,17,14,3,18,9,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10062,17,14,3,18,11,-79.20749999999994,-15841.5,88.2881630762103,19056.999999999993
10063,17,14,3,18,13,-27.85000000000008,-5570.0,71.74885366320792,15921.250000000004
10064,17,14,3,18,15,-18.281250000000064,-3656.25,71.74885366320792,15921.250000000004
10065,17,14,3,18,17,-81.68624999999996,-16337.25,98.2490695801684,22571.25000000001
10066,17,14,3,20,5,-81.20374999999996,-16240.75,77.76248905466414,17095.500000000004
10067,17,14,3,20,7,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10068,17,14,3,20,9,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10069,17,14,3,20,11,-77.40499999999994,-15481.0,74.31248588846236,16456.499999999996
10070,17,14,3,20,13,-18.281250000000064,-3656.25,71.74885366320792,15921.250000000004
10071,17,14,3,20,15,-81.68624999999996,-16337.25,98.2490695801684,22571.25000000001
10072,17,14,3,20,17,-25.987500000000054,-5197.5,72.04278453821703,16265.99999999999
10073,17,14,6,9,5,75.44624999999992,15089.25,64.8693155427944,15363.000000000018
10074,17,14,6,9,7,76.63374999999996,15326.75,62.05893639797216,15362.999999999984
10075,17,14,6,9,9,37.63374999999996,7526.75,61.279478377445095,15084.25
10076,17,14,6,9,11,36.216249999999945,7243.25,64.87291415792185,15084.250000000013
10077,17,14,6,9,13,43.39624999999998,8679.25,71.21761885912828,16192.750000000022
10078,17,14,6,9,15,58.8975,11779.5,70.13795642569411,16192.75
10079,17,14,6,9,17,60.01,12002.0,68.41766134995245,16192.750000000004
10080,17,14,6,11,5,59.44624999999992,11889.25,64.8693155427944,15363.000000000018
10081,17,14,6,11,7,37.63374999999996,7526.75,61.279478377445095,15084.25
10082,17,14,6,11,9,36.216249999999945,7243.25,64.87291415792185,15084.250000000013
10083,17,14,6,11,11,57.147499999999994,11429.5,71.21761885912828,16192.750000000022
10084,17,14,6,11,13,50.634999999999984,10127.0,78.64373407458882,16975.249999999996
10085,17,14,6,11,15,48.36874999999996,9673.75,73.122297610043,16192.750000000011
10086,17,14,6,11,17,61.9125,12382.5,65.07424598629615,16192.750000000015
10087,17,14,6,13,5,64.75874999999994,12951.75,62.05893639797216,15362.999999999984
10088,17,14,6,13,7,38.13374999999996,7626.75,65.10076441973591,14051.999999999998
10089,17,14,6,13,9,43.39624999999998,8679.25,71.21761885912828,16192.750000000022
10090,17,14,6,13,11,50.634999999999984,10127.0,78.64373407458882,16975.249999999996
10091,17,14,6,13,13,47.74374999999998,9548.75,73.5367457043116,16220.000000000005
10092,17,14,6,13,15,63.59,12718.0,64.1576528388605,16192.750000000011
10093,17,14,6,13,17,-85.19249999999997,-17038.5,77.88605367355913,17703.49999999999
10094,17,14,6,15,5,76.63374999999996,15326.75,62.05893639797216,15362.999999999984
10095,17,14,6,15,7,38.091249999999945,7618.25,64.87291415792185,15084.250000000013
10096,17,14,6,15,9,58.8975,11779.5,70.13795642569411,16192.75
10097,17,14,6,15,11,48.36874999999996,9673.75,73.122297610043,16192.750000000011
10098,17,14,6,15,13,63.59,12718.0,64.1576528388605,16192.750000000011
10099,17,14,6,15,15,-85.19249999999997,-17038.5,77.88605367355913,17703.49999999999
10100,17,14,6,15,17,-88.05374999999997,-17610.75,80.12515063404496,18118.49999999999
10101,17,14,6,17,5,71.88374999999995,14376.75,62.05893639797216,15362.999999999984
10102,17,14,6,17,7,34.04124999999996,6808.25,69.64024600034402,16192.750000000015
10103,17,14,6,17,9,60.01,12002.0,68.41766134995245,16192.750000000004
10104,17,14,6,17,11,61.9125,12382.5,65.07424598629615,16192.750000000015
10105,17,14,6,17,13,-85.19249999999997,-17038.5,77.88605367355913,17703.49999999999
10106,17,14,6,17,15,-88.05374999999997,-17610.75,80.12515063404496,18118.49999999999
10107,17,14,6,17,17,-81.04499999999997,-16209.0,85.06303880252504,24322.499999999964
10108,17,14,6,19,5,45.00874999999995,9001.75,61.279478377445095,15084.25
10109,17,14,6,19,7,34.04124999999996,6808.25,69.64024600034402,16192.750000000015
10110,17,14,6,19,9,62.74374999999996,12548.75,64.74574915782844,16192.750000000018
10111,17,14,6,19,11,-80.56749999999995,-16113.5,86.1350637923449,19578.499999999993
10112,17,14,6,19,13,-83.05374999999997,-16610.75,76.79689735194071,18118.499999999978
10113,17,14,6,19,15,-81.04499999999997,-16209.0,85.06303880252504,24322.499999999964
10114,17,14,6,19,17,-83.82124999999998,-16764.25,98.08406962999497,28834.999999999967
10115,17,14,6,21,5,45.00874999999995,9001.75,61.279478377445095,15084.25
10116,17,14,6,21,7,29.268749999999965,5853.75,69.44462313712876,16192.749999999996
10117,17,14,6,21,9,80.66249999999997,16132.5,56.61107906375095,16192.750000000004
10118,17,14,6,21,11,-81.81749999999995,-16363.5,95.14356125801908,24322.499999999978
10119,17,14,6,21,13,-81.04499999999997,-16209.0,85.06303880252504,24322.499999999964
10120,17,14,6,21,15,-83.82124999999998,-16764.25,98.08406962999497,28834.999999999967
10121,17,14,6,21,17,-83.19625,-16639.25,86.30126050047457,24322.499999999967
10122,17,14,9,12,5,38.13374999999996,7626.75,65.10076441973591,14051.999999999998
10123,17,14,9,12,7,16.897499999999997,3379.5,82.95459810053272,17905.749999999985
10124,17,14,9,12,9,29.63249999999996,5926.5,71.64141134830219,16192.75
10125,17,14,9,12,11,35.19999999999997,7040.0,60.04331839016772,14900.499999999982
10126,17,14,9,12,13,-85.80374999999997,-17160.75,78.59582913101471,18118.499999999978
10127,17,14,9,12,15,-81.29499999999997,-16259.0,94.5352430184426,24322.49999999996
