,period_sma5,period_sma25,period_he,return,pnl,drawdown (%),drawdown (abs)
53,5,20,16,253.4312500000002,50686.25,72.23417434229191,30553.899999999958
54,5,20,18,315.00812500000023,63001.63,34.246314552241884,20686.999999999956
55,5,20,20,230.60000000000022,46120.0,54.28549333654112,15794.499999999965
56,7,10,6,3476.6590625,695331.81,23.522056664361703,12416.0
57,7,10,8,721.2837499999997,144256.75,54.76125709164005,27982.4000000001
58,7,10,10,2061.705,412341.0,33.562229979379914,35600.82499999982
59,7,10,12,324.7131249999996,64942.62,61.229772547244565,32465.249999999938
60,7,10,14,247.6837499999998,49536.75,81.83146736600825,40876.250000000044
61,7,10,16,243.0275000000001,48605.5,74.27622685691063,37556.400000000016
62,7,10,18,321.26999999999975,64254.0,37.95300008201743,24293.999999999927
63,7,10,20,260.71833333333313,52143.67,63.33953433435205,21450.249999999985
64,7,12,6,3183.8540625,636770.81,32.11650510550515,12416.000000000015
65,7,12,8,678.7487499999999,135749.75,56.8109421847555,27313.650000000034
66,7,12,10,2113.1524999999992,422630.5,31.155305588341864,34888.824999999924
67,7,12,12,279.52812499999953,55905.62,68.80022048306705,36197.00000000006
68,7,12,14,301.2799999999999,60256.0,64.6626702997276,37079.99999999997
69,7,12,16,272.43499999999995,54487.0,74.01931496954731,33202.40000000005
70,7,12,18,345.6199999999997,69124.0,30.437463244360956,16044.500000000007
71,7,12,20,260.71833333333313,52143.67,63.33953433435205,21450.249999999985
72,7,14,6,2784.6686160714294,556933.72,34.320385330357226,12416.000000000015
73,7,14,8,659.1199999999999,131824.0,76.51349457456523,36032.50000000004
74,7,14,10,2065.5474999999997,413109.5,35.00572061314749,39690.82499999994
75,7,14,12,321.76312499999966,64352.62,51.80875089361143,31887.249999999924
76,7,14,14,401.75562499999995,80351.12,53.33148929600661,41453.499999999876
77,7,14,16,275.11625,55023.25,65.05717562126459,29188.65
78,7,14,18,358.4449999999999,71689.0,30.189074626207212,20529.24999999997
79,7,14,20,280.8933333333332,56178.67,45.94162218764085,15794.49999999997
80,7,16,6,2838.563053571429,567712.61,31.58647089612544,40613.59999999998
81,7,16,8,636.2937499999998,127258.75,72.06247781327657,36032.50000000003
82,7,16,10,2019.635,403927.0,36.72353576734666,39690.82499999995
83,7,16,12,257.5393749999996,51507.87,65.01895650305791,36922.90000000004
84,7,16,14,388.72062500000015,77744.13,57.96584854844238,41915.25000000009
85,7,16,16,270.8000000000002,54160.0,70.5177719166039,22458.49999999995
86,7,16,18,309.4218750000002,61884.38,37.77335751477214,24212.249999999978
87,7,16,20,212.47500000000025,42495.0,51.445112626853806,28679.749999999967
88,7,18,6,2875.8989285714288,575179.79,42.631331003337245,50767.35000000018
89,7,18,8,554.2862499999995,110857.25,89.6966385653522,43915.250000000065
90,7,18,10,2011.0900000000001,402218.0,40.753504157093076,41650.824999999946
91,7,18,12,262.1156249999996,52423.12,67.90606003081062,38812.149999999994
92,7,18,14,334.491875,66898.38,71.59214206030231,46847.750000000044
93,7,18,16,288.6800000000001,57736.0,66.08429036747056,21607.25
94,7,18,18,334.2706250000002,66854.13,34.68561732916752,23202.250000000022
95,7,18,20,178.46125000000026,35692.25,59.115221976646836,29287.750000000025
96,7,20,6,2826.378303571428,565275.66,40.43937432314697,12416.00000000003
97,7,20,8,518.9587499999998,103791.75,87.20134231519593,43915.25000000005
98,7,20,10,1955.0887500000001,391017.75,35.52578365990793,22400.250000000007
99,7,20,12,265.81562499999956,53163.12,75.01439773180351,42332.500000000044
100,7,20,14,303.51437499999986,60702.87,76.45849187280362,44710.25000000014
101,7,20,16,301.49749999999995,60299.5,59.46837438314409,32181.400000000005
102,7,20,18,353.4043750000001,70680.88,37.78722375994035,25802.250000000095
103,7,20,20,174.24124999999998,34848.25,68.76455269201608,32412.000000000044
104,9,12,6,3028.3065625,605661.31,38.30711904115687,42744.314999999915
105,9,12,8,744.1549999999999,148831.0,35.95698457527695,16550.99999999994
106,9,12,10,2090.0225,418004.5,32.293883006476605,36749.575
107,9,12,12,252.2343749999996,50446.87,81.93633738436084,43199.50000000006
108,9,12,14,311.631875,62326.38,72.9429370860182,48619.749999999956
109,9,12,16,232.54125000000005,46508.25,82.92005216982741,25589.749999999996
110,9,12,18,297.0462499999999,59409.25,39.011410469203064,22504.999999999978
111,9,12,20,262.2145833333332,52442.92,60.3564624267368,20750.24999999996
112,9,14,6,3107.0474999999997,621409.5,36.7742556515687,12416.000000000044
113,9,14,8,604.8487499999999,120969.75,97.956967562788,47359.49999999989
114,9,14,10,1986.4775000000002,397295.5,39.04866014609368,38864.57500000001
